"Latitude (decimal degrees):	30.061",,,,,,,,
"Longitude (decimal degrees):	76.760",,,,,,,,
"Elevation (m):	256",,,,,,,,
"Radiation database:	PVGIS-ERA5",,,,,,,,
,,,,,,,,
,,,,,,,,
Slope: 29 deg. ,,,,,,,,
Azimuth: 0 deg. ,,,,,,,,
"Nominal power of the PV system (c-Si) (kWp):	5.0",,,,,,,,
"System losses (%):	14.0",,,,,,,,
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20150101:0030,0,0,0,0,0,9.51,2.55,0
20150101:0130,0,0,0,0,-4.55,9.76,2.34,0
20150101:0230,672.2,129.03,49.91,0.97,6.93,9.73,2.28,0
20150101:0330,1726.25,320.55,92.26,2.98,17.4,10.72,1.93,0
20150101:0430,2800.45,572.05,106.72,5.33,26.35,13.38,2,0
20150101:0530,3351.65,715.6,120.66,6.88,33.02,16.57,2.14,0
20150101:0630,3443.4,739.34,131.82,7.34,36.55,19.19,2.34,0
20150101:0730,3304.7,706.94,141.93,7.18,36.32,20.71,1.66,0
20150101:0830,2988.85,615.53,149.91,6.37,32.36,21.64,1.52,0
20150101:0930,2076.65,362.07,162.87,4.38,25.37,22.16,1.17,0
20150101:1030,1188.65,193.78,111.29,2.4,16.21,22.08,1.17,0
20150101:1130,325.9,61.61,39.71,0.66,5.59,21.34,0.9,0
20150101:1230,0,0,0,0,0,19.8,1.24,0
20150101:1330,0,0,0,0,0,17.25,1.66,0
20150101:1430,0,0,0,0,0,15.26,1.72,0
20150101:1530,0,0,0,0,0,13.79,1.93,0
20150101:1630,0,0,0,0,0,12.7,1.93,0
20150101:1730,0,0,0,0,0,11.79,1.72,0
20150101:1830,0,0,0,0,0,11.37,1.52,0
20150101:1930,0,0,0,0,0,10.63,1.45,0
20150101:2030,0,0,0,0,0,10.5,1.52,0
20150101:2130,0,0,0,0,0,10.89,1.38,0
20150101:2230,0,0,0,0,0,11.12,1.31,0
20150101:2330,0,0,0,0,0,10.69,1.45,0
20150102:0030,0,0,0,0,0,10.58,1.38,0
20150102:0130,0,0,0,0,-4.59,10.93,1.1,0
20150102:0230,279.9,46.2,38.13,0.62,6.9,11.22,0.9,0
20150102:0330,924.75,107.55,122.05,2.13,17.39,12.13,1.24,0
20150102:0430,1467.95,200.81,154.73,3.3,26.36,15.27,2.34,0
20150102:0530,1850.6,254.5,192.29,4.26,33.06,17.16,3.52,0
20150102:0630,311.95,0,90.88,1.22,36.63,18.12,3.79,0
20150102:0730,516.3,28.93,108.37,1.66,36.42,15.49,1.52,0
20150102:0830,535,26.54,115.21,1.73,32.48,15.43,1.52,0
20150102:0930,215.5,6.73,59.89,0.85,25.5,15.5,1.52,0
20150102:1030,75.55,0,30.73,0.41,16.34,15.23,1.45,0
20150102:1130,11.75,0,10.87,0.15,5.72,14.8,1.66,0
20150102:1230,0,0,0,0,0,14.32,1.93,0
20150102:1330,0,0,0,0,0,13.91,2,0
20150102:1430,0,0,0,0,0,13.59,2,0
20150102:1530,0,0,0,0,0,13.48,2,0
20150102:1630,0,0,0,0,0,13.13,1.93,0
20150102:1730,0,0,0,0,0,12.93,1.52,0
20150102:1830,0,0,0,0,0,12.58,1.52,0
20150102:1930,0,0,0,0,0,12.69,1.24,0
20150102:2030,0,0,0,0,0,12.56,1.79,0
20150102:2130,0,0,0,0,0,12.7,1.66,0
20150102:2230,0,0,0,0,0,12.71,1.86,0
20150102:2330,0,0,0,0,0,12.73,1.93,0
20150103:0030,0,0,0,0,0,12.71,1.86,0
20150103:0130,0,0,0,0,-4.63,12.72,1.72,0
20150103:0230,16.45,0.89,11.71,0.16,6.87,12.71,1.31,0
20150103:0330,283.5,23.82,58.5,0.92,17.38,12.92,0.9,0
20150103:0430,1064.9,122.35,140,2.63,26.38,13.91,0.83,0
20150103:0530,1632.05,204.78,193.95,3.95,33.11,15.29,0.76,0
20150103:0630,1782.6,271.42,167.8,4.18,36.71,16.46,0.21,0
20150103:0730,846.3,53.29,161.63,2.54,36.53,17.12,1.66,0
20150103:0830,706.8,56.89,124.85,2.07,32.61,17.14,2.41,0
20150103:0930,363.4,9.7,92.83,1.31,25.64,16.91,2.83,0
20150103:1030,320.6,27.96,64.36,1.01,16.48,16.56,2.76,0
20150103:1130,118.35,30.71,14.31,0.28,5.86,16.35,2.41,0
20150103:1230,0,0,0,0,0,15.61,1.72,0
20150103:1330,0,0,0,0,0,14.78,1.72,0
20150103:1430,0,0,0,0,0,14.11,1.59,0
20150103:1530,0,0,0,0,0,13.56,1.59,0
20150103:1630,0,0,0,0,0,13.09,1.45,0
20150103:1730,0,0,0,0,0,12.49,1.52,0
20150103:1830,0,0,0,0,0,11.82,1.59,0
20150103:1930,0,0,0,0,0,12.12,1.66,0
20150103:2030,0,0,0,0,0,11.85,1.66,0
20150103:2130,0,0,0,0,0,11.7,1.59,0
20150103:2230,0,0,0,0,0,11.58,1.59,0
20150103:2330,0,0,0,0,0,11.12,1.72,0
20150104:0030,0,0,0,0,0,10.72,1.66,0
20150104:0130,0,0,0,0,-4.67,10.39,1.45,0
20150104:0230,376,60.71,46.72,0.75,6.85,10.12,1.38,0
20150104:0330,1261.7,186.55,120.54,2.52,17.38,11.38,0.97,0
20150104:0430,2365.75,427.9,144.74,4.7,26.4,13.67,1.52,0
20150104:0530,3025,610.11,131.9,6.21,33.16,15.86,2.34,0
20150104:0630,1852.2,248.64,198.85,4.39,36.79,17.32,3.45,0
20150104:0730,1850.15,267.37,178.77,4.28,36.64,17.38,3.59,0
20150104:0830,1368.95,151.34,183.6,3.46,32.74,17.9,3.45,0
20150104:0930,1323.4,154.55,170.32,3.18,25.78,18,3.59,0
20150104:1030,1136.7,175.03,108.51,2.3,16.62,18.03,3.86,0
20150104:1130,523.9,108.55,41.43,0.77,6,17.62,3.52,0
20150104:1230,0,0,0,0,0,16.11,3.1,0
20150104:1330,0,0,0,0,0,14.21,3.17,0
20150104:1430,0,0,0,0,0,13.03,3.38,0
20150104:1530,0,0,0,0,0,12.23,3.59,0
20150104:1630,0,0,0,0,0,11.64,3.79,0
20150104:1730,0,0,0,0,0,11.2,3.93,0
20150104:1830,0,0,0,0,0,10.89,4.07,0
20150104:1930,0,0,0,0,0,10.65,4.21,0
20150104:2030,0,0,0,0,0,10.45,4.41,0
20150104:2130,0,0,0,0,0,10.29,4.76,0
20150104:2230,0,0,0,0,0,10.2,5.03,0
20150104:2330,0,0,0,0,0,10.12,5.24,0
20150105:0030,0,0,0,0,0,10.05,5.31,0
20150105:0130,0,0,0,0,-4.7,9.96,5.38,0
20150105:0230,824,161.41,53.46,1.1,6.84,9.88,5.52,0
20150105:0330,2041.1,385.36,94.88,3.4,17.39,10.89,5.24,0
20150105:0430,2988.75,590.46,112.36,5.54,26.43,12.86,5.93,0
20150105:0530,3589.85,734.27,122.33,7.08,33.22,15.02,6.55,0
20150105:0630,3861.9,804.77,127.11,7.85,36.89,16.8,7.03,0
20150105:0730,3841.35,801.9,125.92,7.81,36.77,17.08,7.03,0
20150105:0830,3494.45,720.77,120.79,6.94,32.88,17.82,7.1,0
20150105:0930,2832.9,568.82,110.17,5.33,25.92,18.1,6.97,0
20150105:1030,1852.65,358.82,90.74,3.16,16.77,17.84,6.55,0
20150105:1130,675.3,142.09,44.86,0.91,6.14,17.08,5.72,0
20150105:1230,0,0,0,0,0,15.54,5.52,0
20150105:1330,0,0,0,0,0,14.32,5.31,0
20150105:1430,0,0,0,0,0,13.6,5.24,0
20150105:1530,0,0,0,0,0,13.1,5.1,0
20150105:1630,0,0,0,0,0,12.66,4.9,0
20150105:1730,0,0,0,0,0,12.26,4.76,0
20150105:1830,0,0,0,0,0,11.87,4.69,0
20150105:1930,0,0,0,0,0,11.54,4.69,0
20150105:2030,0,0,0,0,0,11.31,4.69,0
20150105:2130,0,0,0,0,0,11.16,4.69,0
20150105:2230,0,0,0,0,0,11.01,4.69,0
20150105:2330,0,0,0,0,0,10.95,4.62,0
20150106:0030,0,0,0,0,0,10.83,4.41,0
20150106:0130,0,0,0,0,-4.72,10.55,4.21,0
20150106:0230,805.55,159,52.41,1.08,6.83,10.2,4.14,0
20150106:0330,1980.8,375.29,94.2,3.34,17.4,10.99,3.72,0
20150106:0430,2939.9,588.08,110.93,5.52,26.47,13.16,4.28,0
20150106:0530,3504.25,728.77,119.24,7.02,33.29,15.28,4.55,0
20150106:0630,3299.3,619.14,181.04,6.95,36.99,16.95,4.9,0
20150106:0730,2639.3,445.99,187.91,5.71,36.89,17.6,5.17,0
20150106:0830,2634.75,466.51,168.77,5.52,33.03,17.96,4.83,0
20150106:0930,2097.7,361.79,144.71,4.25,26.07,18.31,4.62,0
20150106:1030,1455.1,253.24,105.45,2.71,16.92,18.24,4.07,0
20150106:1130,505.25,101.9,43,0.79,6.29,17.77,3.17,0
20150106:1230,0,0,0,0,-5.3,16.3,2.62,0
20150106:1330,0,0,0,0,0,14.48,2.55,0
20150106:1430,0,0,0,0,0,13.2,2.41,0
20150106:1530,0,0,0,0,0,12.28,2.21,0
20150106:1630,0,0,0,0,0,11.43,2.07,0
20150106:1730,0,0,0,0,0,10.68,1.93,0
20150106:1830,0,0,0,0,0,9.9,1.79,0
20150106:1930,0,0,0,0,0,9.67,1.52,0
20150106:2030,0,0,0,0,0,9.19,1.59,0
20150106:2130,0,0,0,0,0,8.94,1.52,0
20150106:2230,0,0,0,0,0,8.74,1.24,0
20150106:2330,0,0,0,0,0,8.42,0.83,0
20150107:0030,0,0,0,0,0,8.45,0.76,0
20150107:0130,0,0,0,0,-4.74,7.54,1.17,0
20150107:0230,504.3,86.73,50.82,0.86,6.83,7.25,0.83,0
20150107:0330,1293.45,195.19,117.27,2.54,17.42,9.29,0.55,0
20150107:0430,2016.55,341.39,144.48,4.13,26.51,11.67,0.55,0
20150107:0530,2779.75,537.5,148.29,5.86,33.37,13.83,0.76,0
20150107:0630,2511.25,444.35,168.4,5.5,37.1,15.87,1.72,0
20150107:0730,1506.65,150.63,216.52,3.92,37.03,16.5,2.41,0
20150107:0830,968.1,37.62,205.72,2.99,33.18,17,2.55,0
20150107:0930,760.4,61.83,132.7,2.16,26.23,17.26,2.48,0
20150107:1030,691.05,85.43,94.12,1.69,17.07,17.21,2.14,0
20150107:1130,331.75,66.92,33.85,0.62,6.44,17.06,1.72,0
20150107:1230,0,0,0,0,-5.15,16.16,1.72,0
20150107:1330,0,0,0,0,0,14.99,1.93,0
20150107:1430,0,0,0,0,0,13.87,2,0
20150107:1530,0,0,0,0,0,12.89,1.93,0
20150107:1630,0,0,0,0,0,11.95,1.72,0
20150107:1730,0,0,0,0,0,11.18,1.72,0
20150107:1830,0,0,0,0,0,10.35,1.79,0
20150107:1930,0,0,0,0,0,9.45,1.79,0
20150107:2030,0,0,0,0,0,8.87,1.86,0
20150107:2130,0,0,0,0,0,8.48,1.93,0
20150107:2230,0,0,0,0,0,8.15,2,0
20150107:2330,0,0,0,0,0,7.88,2,0
20150108:0030,0,0,0,0,0,7.88,1.93,0
20150108:0130,0,0,0,0,-4.76,7.66,1.72,0
20150108:0230,545.95,99.66,48.23,0.87,6.83,7.48,1.45,0
20150108:0330,1212.45,156.86,134.65,2.53,17.44,8.57,1.31,0
20150108:0430,1716.9,217.3,192.04,3.85,26.56,10.32,1.1,0
20150108:0530,2874.15,507.43,195.7,6.13,33.45,12.1,1.03,0
20150108:0630,2833.85,477.15,219.07,6.29,37.21,14.55,1.52,0
20150108:0730,3090.1,564.61,202.9,6.78,37.17,15.82,1.72,0
20150108:0830,2805.75,495.71,198.22,6.06,33.34,17.02,1.93,0
20150108:0930,2242.45,391.44,157.98,4.61,26.39,17.47,2.07,0
20150108:1030,1576,284.69,105.21,2.91,17.23,17.63,2.14,0
20150108:1130,583,122.46,41.93,0.87,6.6,17.2,2,0
20150108:1230,0,0,0,0,-5.01,16.07,1.86,0
20150108:1330,0,0,0,0,0,14.44,2.07,0
